SONG_ID,annotator,ann_src_path,ann_saved_path,artist,title,genre,class,expected_audio_path
2,annotator2,annotations/2/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/2_functions.txt,The_Smashing_Pumpkins,For_God_And_Country,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/2.mp3
4,annotator2,annotations/4/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/4_functions.txt,Shivaree,I_close_my_eyes,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/4.mp3
6,annotator2,annotations/6/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/6_functions.txt,Ladyhawk,My_Old_Jacknife,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/6.mp3
8,annotator2,annotations/8/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/8_functions.txt,Jewel,Love_Me___Just_Leave_Me_Alone,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/8.mp3
10,annotator2,annotations/10/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/10_functions.txt,The_Cure,How_Beautiful_You_Are,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/10.mp3
12,annotator2,annotations/12/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/12_functions.txt,Sarah_Mclachlan,Mercy,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/12.mp3
14,annotator2,annotations/14/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/14_functions.txt,Bif_Naked,Over_You,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/14.mp3
16,annotator2,annotations/16/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/16_functions.txt,Natalie_Imbruglia,Goodbye,Alternative_Pop___Rock,popular,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/16.mp3
24,annotator2,annotations/24/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/24_functions.txt,S_Word,Blood_On_That_Rock,Blues_-_Contemporary_Blues,jazz,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/24.mp3
592,annotator2,annotations/592/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/592_functions.txt,Compilations,Rock_My_Soul,R_B_-_Gospel,jazz,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/592.mp3
604,annotator2,annotations/604/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/604_functions.txt,The_Everly_Brothers,__Til___I_Kissed_You,R_B_-_Rock___Roll,jazz,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/604.mp3
606,annotator2,annotations/606/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/606_functions.txt,Dion,Runaround_Sue,R_B_-_Rock___Roll,jazz,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/606.mp3
608,annotator2,annotations/608/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/608_functions.txt,Compilations,Woo_Hoo,R_B_-_Rock___Roll,jazz,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/608.mp3
610,annotator2,annotations/610/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/610_functions.txt,Compilations,Jeepster,R_B_-_Rock___Roll,jazz,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/610.mp3
612,annotator2,annotations/612/parsed/textfile2_functions.txt,/home/annanya13/Dazzler/ONSET/dataset_rock15/annotations/612_functions.txt,Compilations,Don__t_You_Just_Know_It,R_B_-_Rock___Roll,jazz,/home/annanya13/Dazzler/ONSET/dataset_rock15/audio/612.mp3
